,Or1,Or2,Or3,Or4,Or5,W1,W2,W3,W4,W5
2007-01-01 00:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:10:00,0.679738208140124,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:15:00,0.5394621747083621,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:20:00,0.3448762590305598,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:25:00,0.2886206612769557,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:30:00,0.17393063976546588,1.0,1.0,0.8184064519824408,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:35:00,0.070788871686335,0.8640825503271434,1.0,0.4361163171138768,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:40:00,0.0579000003240982,1.0,1.0,0.3331094007282154,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:45:00,0.054493307095930824,1.0,1.0,0.36000106398311876,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:50:00,0.053192380940691154,1.0,1.0,0.5273480585747178,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 00:55:00,0.05273479218102193,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:00:00,0.05261365607958467,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:05:00,0.052909703451098175,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:10:00,0.05347232842047084,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:15:00,0.05414265431780284,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:20:00,0.05492217623753474,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:25:00,0.055775946271442285,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:30:00,0.05670589843161612,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:35:00,0.0577736389555343,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:40:00,0.05893107321386074,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:45:00,0.06027618956974141,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:50:00,0.0617449619418952,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 01:55:00,0.06343211061371383,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:00:00,0.06537175975653113,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:05:00,0.06823332864909205,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:10:00,0.07217452164005735,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:15:00,0.07578807671757956,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:20:00,0.07915699785187504,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:25:00,0.08272387100272936,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:30:00,0.08682722617877059,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:35:00,0.09174745742865173,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:40:00,0.09867712750470012,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:45:00,0.1121965273501487,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:50:00,0.13279247084053872,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 02:55:00,0.18117415613479385,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:00:00,0.9173148276897003,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:10:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:15:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:20:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:25:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:30:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:35:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:40:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:45:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:50:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 03:55:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:10:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:15:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:20:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:25:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:30:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:35:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:40:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:45:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:50:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 04:55:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:10:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:15:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:20:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:25:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:30:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:35:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:40:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:45:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:50:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 05:55:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:10:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:15:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:20:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:25:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:30:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:35:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:40:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:45:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:50:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 06:55:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:10:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:15:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:20:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:25:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:30:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:35:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:40:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:45:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:50:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 07:55:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 08:00:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
2007-01-01 08:05:00,1.0,1.0,1.0,1.0,1.0,0.06678030508660336,0.4875865286260607,0.14876213598445356,0.25,0.23281195565290985
