,cost,final_depths,final_filling
0,3735.794222883167,0.06,0.01
1,3735.794222883167,0.04,0.01
2,3735.794222883167,0.04,0.01
3,3735.794222883167,0.05,0.01
4,3735.794222883167,0.04,0.01
5,3735.794222883167,0.0,0.0
6,3735.794222883167,0.0,0.0
7,3735.794222883167,0.0,0.0
8,3735.794222883167,0.01,0.0
9,3735.794222883167,0.05,0.0
10,3735.794222883167,0.01,0.0
11,3735.794222883167,0.01,0.0
12,3735.794222883167,0.0,0.0
13,3735.794222883167,0.0,0.0
14,3735.794222883167,5.0,0.42
15,3735.794222883167,0.0,0.0
16,3735.794222883167,0.0,0.0
