,cost,final_depths,final_filling
0,9903.197697136158,0.06,0.01
1,9903.197697136158,0.04,0.01
2,9903.197697136158,0.04,0.01
3,9903.197697136158,0.05,0.01
4,9903.197697136158,0.04,0.01
5,9903.197697136158,0.0,0.0
6,9903.197697136158,0.0,0.0
7,9903.197697136158,0.01,0.0
8,9903.197697136158,0.01,0.0
9,9903.197697136158,0.06,0.0
10,9903.197697136158,0.01,0.0
11,9903.197697136158,0.01,0.0
12,9903.197697136158,0.0,0.0
13,9903.197697136158,0.0,0.0
14,9903.197697136158,5.0,0.42
15,9903.197697136158,0.0,0.0
16,9903.197697136158,0.0,0.0
