,R2,P0,W0
2016-10-08 00:00:00,1.0,0.0,1.0
2016-10-08 00:01:01,1.0,0.0,1.0
2016-10-08 00:02:11,1.0,0.0,1.0
2016-10-08 00:03:21,1.0,0.0,1.0
2016-10-08 00:04:31,1.0,0.0,1.0
2016-10-08 00:05:41,1.0,0.0,1.0
2016-10-08 00:06:51,1.0,0.0,1.0
2016-10-08 00:08:01,1.0,0.0,1.0
2016-10-08 00:09:11,1.0,0.0,1.0
2016-10-08 00:10:21,1.0,0.0,1.0
2016-10-08 00:11:31,1.0,0.0,1.0
2016-10-08 00:12:32,1.0,0.0,1.0
2016-10-08 00:13:34,1.0,0.0,1.0
2016-10-08 00:14:36,1.0,0.0,1.0
2016-10-08 00:15:38,1.0,0.0,1.0
2016-10-08 00:16:39,1.0,0.0,1.0
2016-10-08 00:17:40,1.0,0.0,1.0
2016-10-08 00:18:42,1.0,0.0,1.0
2016-10-08 00:19:44,1.0,0.0,1.0
2016-10-08 00:20:46,1.0,0.0,1.0
2016-10-08 00:21:47,1.0,0.0,1.0
2016-10-08 00:22:48,1.0,0.0,1.0
2016-10-08 00:23:49,1.0,0.0,1.0
2016-10-08 00:24:51,1.0,0.0,1.0
2016-10-08 00:25:54,1.0,0.0,1.0
2016-10-08 00:26:56,1.0,0.0,1.0
2016-10-08 00:27:58,1.0,0.0,1.0
2016-10-08 00:29:00,1.0,0.0,1.0
2016-10-08 00:30:03,0.714,0.0,0.0
2016-10-08 00:31:04,0.714,0.0,0.0
2016-10-08 00:32:05,0.714,0.0,0.0
2016-10-08 00:33:08,0.714,0.0,0.0
2016-10-08 00:34:10,0.714,0.0,0.0
2016-10-08 00:35:13,0.714,0.0,0.0
2016-10-08 00:36:14,0.714,0.0,0.0
2016-10-08 00:37:16,0.714,0.0,0.0
2016-10-08 00:38:17,0.714,0.0,0.0
2016-10-08 00:39:19,0.714,0.0,0.0
2016-10-08 00:40:20,0.714,0.0,0.0
2016-10-08 00:41:23,0.714,0.0,0.0
2016-10-08 00:42:25,0.714,0.0,0.0
2016-10-08 00:43:26,0.714,0.0,0.0
2016-10-08 00:44:27,0.714,0.0,0.0
2016-10-08 00:45:29,1.0,0.0,0.857
2016-10-08 00:46:30,1.0,0.0,0.857
2016-10-08 00:47:31,1.0,0.0,0.857
2016-10-08 00:48:33,1.0,0.0,0.857
2016-10-08 00:49:36,1.0,0.0,0.857
2016-10-08 00:50:38,1.0,0.0,0.857
2016-10-08 00:51:39,1.0,0.0,0.857
2016-10-08 00:52:41,1.0,0.0,0.857
2016-10-08 00:53:43,1.0,0.0,0.857
2016-10-08 00:54:45,1.0,0.0,0.857
2016-10-08 00:55:48,1.0,0.0,0.857
2016-10-08 00:56:49,1.0,0.0,0.857
2016-10-08 00:57:52,1.0,0.0,0.857
2016-10-08 00:58:55,1.0,0.0,0.857
2016-10-08 00:59:58,1.0,0.0,0.857
2016-10-08 01:01:00,0.571,1.0,0.571
2016-10-08 01:02:01,0.571,1.0,0.571
2016-10-08 01:03:03,0.571,1.0,0.571
2016-10-08 01:04:06,0.571,1.0,0.571
2016-10-08 01:05:08,0.571,1.0,0.571
2016-10-08 01:06:10,0.571,1.0,0.571
2016-10-08 01:07:11,0.571,1.0,0.571
2016-10-08 01:08:14,0.571,1.0,0.571
2016-10-08 01:09:16,0.571,1.0,0.571
2016-10-08 01:10:17,0.571,1.0,0.571
2016-10-08 01:11:19,0.571,1.0,0.571
2016-10-08 01:12:21,0.571,1.0,0.571
2016-10-08 01:13:22,0.571,1.0,0.571
2016-10-08 01:14:24,0.571,1.0,0.571
2016-10-08 01:15:25,0.429,1.0,0.571
2016-10-08 01:16:27,0.429,1.0,0.571
2016-10-08 01:17:28,0.429,1.0,0.571
2016-10-08 01:18:31,0.429,1.0,0.571
2016-10-08 01:19:32,0.429,1.0,0.571
2016-10-08 01:20:34,0.429,1.0,0.571
2016-10-08 01:21:35,0.429,1.0,0.571
2016-10-08 01:22:37,0.429,1.0,0.571
2016-10-08 01:23:38,0.429,1.0,0.571
2016-10-08 01:24:40,0.429,1.0,0.571
2016-10-08 01:25:42,0.429,1.0,0.571
2016-10-08 01:26:44,0.429,1.0,0.571
2016-10-08 01:27:46,0.429,1.0,0.571
2016-10-08 01:28:48,0.429,1.0,0.571
2016-10-08 01:29:49,0.429,1.0,0.571
2016-10-08 01:30:51,1.0,1.0,0.571
2016-10-08 01:31:52,1.0,1.0,0.571
2016-10-08 01:32:53,1.0,1.0,0.571
2016-10-08 01:33:54,1.0,1.0,0.571
2016-10-08 01:34:55,1.0,1.0,0.571
2016-10-08 01:35:57,1.0,1.0,0.571
2016-10-08 01:36:58,1.0,1.0,0.571
2016-10-08 01:37:59,1.0,1.0,0.571
2016-10-08 01:39:00,1.0,1.0,0.571
2016-10-08 01:40:02,1.0,1.0,0.571
2016-10-08 01:41:04,1.0,1.0,0.571
2016-10-08 01:42:05,1.0,1.0,0.571
2016-10-08 01:43:07,1.0,1.0,0.571
2016-10-08 01:44:08,1.0,1.0,0.571
2016-10-08 01:45:10,1.0,1.0,0.0
2016-10-08 01:46:11,1.0,1.0,0.0
2016-10-08 01:47:12,1.0,1.0,0.0
2016-10-08 01:48:14,1.0,1.0,0.0
2016-10-08 01:49:15,1.0,1.0,0.0
2016-10-08 01:50:17,1.0,1.0,0.0
2016-10-08 01:51:18,1.0,1.0,0.0
2016-10-08 01:52:19,1.0,1.0,0.0
2016-10-08 01:53:20,1.0,1.0,0.0
2016-10-08 01:54:21,1.0,1.0,0.0
2016-10-08 01:55:22,1.0,1.0,0.0
2016-10-08 01:56:23,1.0,1.0,0.0
2016-10-08 01:57:25,1.0,1.0,0.0
2016-10-08 01:58:26,1.0,1.0,0.0
2016-10-08 01:59:27,1.0,1.0,0.0
2016-10-08 02:00:29,1.0,1.0,0.286
2016-10-08 02:01:32,1.0,1.0,0.286
2016-10-08 02:02:34,1.0,1.0,0.286
2016-10-08 02:03:37,1.0,1.0,0.286
2016-10-08 02:04:38,1.0,1.0,0.286
2016-10-08 02:05:40,1.0,1.0,0.286
2016-10-08 02:06:42,1.0,1.0,0.286
2016-10-08 02:07:45,1.0,1.0,0.286
2016-10-08 02:08:46,1.0,1.0,0.286
2016-10-08 02:09:48,1.0,1.0,0.286
2016-10-08 02:10:51,1.0,1.0,0.286
2016-10-08 02:11:54,1.0,1.0,0.286
2016-10-08 02:12:57,1.0,1.0,0.286
2016-10-08 02:13:59,1.0,1.0,0.286
2016-10-08 02:15:02,0.286,1.0,0.429
2016-10-08 02:16:03,0.286,1.0,0.429
2016-10-08 02:17:06,0.286,1.0,0.429
2016-10-08 02:18:08,0.286,1.0,0.429
2016-10-08 02:19:11,0.286,1.0,0.429
2016-10-08 02:20:14,0.286,1.0,0.429
2016-10-08 02:21:16,0.286,1.0,0.429
2016-10-08 02:22:18,0.286,1.0,0.429
2016-10-08 02:23:20,0.286,1.0,0.429
2016-10-08 02:24:21,0.286,1.0,0.429
2016-10-08 02:25:22,0.286,1.0,0.429
2016-10-08 02:26:24,0.286,1.0,0.429
2016-10-08 02:27:27,0.286,1.0,0.429
2016-10-08 02:28:28,0.286,1.0,0.429
2016-10-08 02:29:29,0.286,1.0,0.429
2016-10-08 02:30:32,0.286,0.0,0.714
2016-10-08 02:31:35,0.286,0.0,0.714
2016-10-08 02:32:37,0.286,0.0,0.714
2016-10-08 02:33:39,0.286,0.0,0.714
2016-10-08 02:34:41,0.286,0.0,0.714
2016-10-08 02:35:43,0.286,0.0,0.714
2016-10-08 02:36:44,0.286,0.0,0.714
2016-10-08 02:37:45,0.286,0.0,0.714
2016-10-08 02:38:46,0.286,0.0,0.714
2016-10-08 02:39:47,0.286,0.0,0.714
2016-10-08 02:40:50,0.286,0.0,0.714
2016-10-08 02:41:53,0.286,0.0,0.714
2016-10-08 02:42:55,0.286,0.0,0.714
2016-10-08 02:43:57,0.286,0.0,0.714
2016-10-08 02:44:59,0.286,0.0,0.714
2016-10-08 02:46:01,0.429,1.0,0.857
2016-10-08 02:47:03,0.429,1.0,0.857
2016-10-08 02:48:04,0.429,1.0,0.857
2016-10-08 02:49:05,0.429,1.0,0.857
2016-10-08 02:50:06,0.429,1.0,0.857
2016-10-08 02:51:09,0.429,1.0,0.857
2016-10-08 02:52:12,0.429,1.0,0.857
2016-10-08 02:53:14,0.429,1.0,0.857
2016-10-08 02:54:17,0.429,1.0,0.857
2016-10-08 02:55:19,0.429,1.0,0.857
2016-10-08 02:56:22,0.429,1.0,0.857
2016-10-08 02:57:24,0.429,1.0,0.857
2016-10-08 02:58:25,0.429,1.0,0.857
2016-10-08 02:59:26,0.429,1.0,0.857
2016-10-08 03:00:27,0.714,1.0,0.857
2016-10-08 03:01:28,0.714,1.0,0.857
2016-10-08 03:02:29,0.714,1.0,0.857
2016-10-08 03:03:30,0.714,1.0,0.857
2016-10-08 03:04:33,0.714,1.0,0.857
2016-10-08 03:05:36,0.714,1.0,0.857
2016-10-08 03:06:38,0.714,1.0,0.857
2016-10-08 03:07:40,0.714,1.0,0.857
2016-10-08 03:08:41,0.714,1.0,0.857
2016-10-08 03:09:43,0.714,1.0,0.857
2016-10-08 03:10:45,0.714,1.0,0.857
2016-10-08 03:11:48,0.714,1.0,0.857
2016-10-08 03:12:50,0.714,1.0,0.857
2016-10-08 03:13:52,0.714,1.0,0.857
2016-10-08 03:14:53,0.714,1.0,0.857
2016-10-08 03:15:55,0.714,1.0,0.857
2016-10-08 03:16:58,0.714,1.0,0.857
2016-10-08 03:18:01,0.714,1.0,0.857
2016-10-08 03:19:02,0.714,1.0,0.857
2016-10-08 03:20:03,0.714,1.0,0.857
2016-10-08 03:21:05,0.714,1.0,0.857
2016-10-08 03:22:07,0.714,1.0,0.857
2016-10-08 03:23:09,0.714,1.0,0.857
2016-10-08 03:24:10,0.714,1.0,0.857
2016-10-08 03:25:12,0.714,1.0,0.857
2016-10-08 03:26:14,0.714,1.0,0.857
2016-10-08 03:27:15,0.714,1.0,0.857
2016-10-08 03:28:18,0.714,1.0,0.857
2016-10-08 03:29:20,0.714,1.0,0.857
2016-10-08 03:30:21,0.143,0.0,0.857
2016-10-08 03:31:22,0.143,0.0,0.857
2016-10-08 03:32:25,0.143,0.0,0.857
2016-10-08 03:33:26,0.143,0.0,0.857
2016-10-08 03:34:28,0.143,0.0,0.857
2016-10-08 03:35:29,0.143,0.0,0.857
2016-10-08 03:36:30,0.143,0.0,0.857
2016-10-08 03:37:33,0.143,0.0,0.857
2016-10-08 03:38:34,0.143,0.0,0.857
2016-10-08 03:39:36,0.143,0.0,0.857
2016-10-08 03:40:38,0.143,0.0,0.857
2016-10-08 03:41:40,0.143,0.0,0.857
2016-10-08 03:42:41,0.143,0.0,0.857
2016-10-08 03:43:43,0.143,0.0,0.857
2016-10-08 03:44:44,0.143,0.0,0.857
2016-10-08 03:45:46,0.429,0.0,0.143
2016-10-08 03:46:47,0.429,0.0,0.143
2016-10-08 03:47:48,0.429,0.0,0.143
2016-10-08 03:48:49,0.429,0.0,0.143
2016-10-08 03:49:50,0.429,0.0,0.143
2016-10-08 03:50:51,0.429,0.0,0.143
2016-10-08 03:51:53,0.429,0.0,0.143
2016-10-08 03:52:54,0.429,0.0,0.143
2016-10-08 03:53:56,0.429,0.0,0.143
2016-10-08 03:54:57,0.429,0.0,0.143
2016-10-08 03:55:59,0.429,0.0,0.143
2016-10-08 03:57:01,0.429,0.0,0.143
2016-10-08 03:58:03,0.429,0.0,0.143
2016-10-08 03:59:05,0.429,0.0,0.143
2016-10-08 04:00:07,0.286,1.0,0.714
2016-10-08 04:01:09,0.286,1.0,0.714
2016-10-08 04:02:11,0.286,1.0,0.714
2016-10-08 04:03:12,0.286,1.0,0.714
2016-10-08 04:04:13,0.286,1.0,0.714
2016-10-08 04:05:15,0.286,1.0,0.714
2016-10-08 04:06:17,0.286,1.0,0.714
2016-10-08 04:07:19,0.286,1.0,0.714
2016-10-08 04:08:21,0.286,1.0,0.714
2016-10-08 04:09:23,0.286,1.0,0.714
2016-10-08 04:10:25,0.286,1.0,0.714
2016-10-08 04:11:28,0.286,1.0,0.714
2016-10-08 04:12:29,0.286,1.0,0.714
2016-10-08 04:13:31,0.286,1.0,0.714
2016-10-08 04:14:32,0.286,1.0,0.714
2016-10-08 04:15:33,0.429,0.0,0.857
2016-10-08 04:16:34,0.429,0.0,0.857
2016-10-08 04:17:35,0.429,0.0,0.857
2016-10-08 04:18:36,0.429,0.0,0.857
