,"('J33', 'depthN')","('J64', 'depthN')","('J98', 'depthN')","('J102', 'depthN')","('OUT0', 'depthN')","('ST0', 'depthN')","('ST2', 'depthN')"
2016-10-08 00:00:00,0.0,0.0,0.0,0.0,5.638,0.0,0.0
2016-10-08 00:01:01,0.0,0.0,0.0,0.0,5.643680277777934,0.0,0.0
2016-10-08 00:02:11,0.0,0.0,0.0,0.0,5.650252500002287,0.0,0.0
2016-10-08 00:03:21,0.0,0.0,0.0,0.0,5.656824722226641,0.0,0.0
2016-10-08 00:04:31,0.0,0.0,0.0,0.0,5.663396944450994,0.0,0.0
2016-10-08 00:05:41,0.0,0.0,0.0,0.0,5.669969166675347,0.0,0.0
2016-10-08 00:06:51,0.0,7.630873139689497e-06,7.633139703974598e-06,7.632682980969103e-06,5.676541388899702,0.0,1.916478514031826e-09
2016-10-08 00:08:01,0.0,7.239743472767253e-05,7.2444102000886e-05,7.243469522564568e-05,5.683113611124055,0.0,1.8183150410820664e-08
2016-10-08 00:09:11,0.0,0.00010023769490597652,0.00025100472471051565,0.00025094095484919353,5.689685833348408,3.4175060828690253e-07,3.4130313270301527e-07
2016-10-08 00:10:21,0.0,0.00011158364360049343,0.0006228287391669879,0.0006979409142242651,5.696258055572763,3.885684106678955e-07,4.81799089317206e-07
2016-10-08 00:11:31,0.0,0.00014435231079708185,0.001254778018663423,0.002079374923162504,5.702865204460853,8.100354177842121e-07,8.224756863860101e-07
2016-10-08 00:12:32,9.344882027611756e-05,0.00018509890435872717,0.002034724997423489,0.003636116787134062,5.708642093919721,1.1571215261973047e-06,1.2807084341159734e-06
2016-10-08 00:13:34,0.0001047434186814314,0.00023939671350913712,0.003075616913839136,0.005821825293919471,5.714442361686637,1.594949789349835e-06,1.8510504449485013e-06
2016-10-08 00:14:36,0.00011429134815590253,0.00030802876504145007,0.004090041216371822,0.00808812712804884,5.720271922767294,2.333856184740955e-06,2.541929768025419e-06
2016-10-08 00:15:38,0.0001290249983513275,0.0003902650199582452,0.00496309123939533,0.010329346067170305,5.726021960026818,3.309000815206338e-06,3.2572443685802565e-06
2016-10-08 00:16:39,0.00014977990275071547,0.0004877826147023451,0.005824433599676097,0.012621124739820085,5.7317881460970845,4.535773928094267e-06,4.144267180013249e-06
2016-10-08 00:17:40,0.0001769763907776015,0.0006005874760658829,0.006695647823296121,0.014964909728264076,5.7375616555695625,6.011630148112056e-06,5.221568689499832e-06
2016-10-08 00:18:42,0.00021221512444272433,0.0007284160586028636,0.007561843944070132,0.017375017957013468,5.743350938351205,7.707455747287898e-06,6.512155556909128e-06
2016-10-08 00:19:44,0.00025631394873677977,0.0008705417345381231,0.008405217025599203,0.019871885866574727,5.749164350562098,9.53537181275249e-06,8.040557201084498e-06
2016-10-08 00:20:46,0.0003099240071615133,0.0010252186164427719,0.009248057756387179,0.022470084330760115,5.755009591106035,1.1693506114541147e-05,9.825161298919178e-06
2016-10-08 00:21:47,0.000371130874387609,0.0011836945038805604,0.010066385245770911,0.025086969125739697,5.760690056693781,1.412478245025002e-05,1.1810034723435441e-05
2016-10-08 00:22:48,0.000441757804054887,0.0013471442177894815,0.010940001713998341,0.027822986712818774,5.766412678324524,1.6937333710816817e-05,1.4076622433394579e-05
2016-10-08 00:23:49,0.0005215870099887163,0.0015100613008024438,0.011845711141069259,0.030691940325935155,5.772182807810616,2.017518554661177e-05,1.6653790956566673e-05
2016-10-08 00:24:51,0.0006105084132099728,0.00166502605348661,0.012761700553327579,0.033723081064616287,5.778003261649982,2.3883155510156996e-05,1.9573650513601777e-05
2016-10-08 00:25:54,0.0007082594128250668,0.0018023668677456678,0.013699625905491262,0.03692276962779757,5.783860989480621,2.8099605546056996e-05,2.286364148510956e-05
2016-10-08 00:26:56,0.0008147906137302042,0.001910977956749851,0.014622413426307799,0.040296147086783106,5.789757587213753,3.287420067509659e-05,2.6560007319889747e-05
2016-10-08 00:27:58,0.0009264512493124213,0.0019773430718265303,0.0155284651553865,0.04374833460413298,5.795516543904757,3.80857288661021e-05,3.057172064202209e-05
2016-10-08 00:29:00,0.0010471023809755801,0.001993915312297684,0.016462179587386855,0.04741573823295857,5.801358310557399,4.3955632673347016e-05,3.507837268298791e-05
2016-10-08 00:30:03,0.001175639248344581,0.002073722362731535,0.017424846171061,0.05128074922134799,5.807235473339285,5.04805122338447e-05,4.0091701995567876e-05
2016-10-08 00:31:04,0.0013086723178507922,0.0022499958004154577,0.018371842448360216,0.05526925745824651,5.813018747210329,5.753130432119135e-05,4.553052089114556e-05
2016-10-08 00:32:05,0.0014360017764340717,0.0024639095814919104,0.019344177410821145,0.05942579602478315,5.81877892442902,6.519655668056149e-05,5.148451089221045e-05
2016-10-08 00:33:08,0.0015605049484494927,0.0027348921834810724,0.02033460072948485,0.06382555859899919,5.82461280442708,7.363227822295733e-05,5.8100344333645e-05
2016-10-08 00:34:10,0.0016885547570099635,0.002912169195988336,0.021342897060075174,0.06843697353406755,5.830463772225919,8.278682669454312e-05,6.536924847848832e-05
2016-10-08 00:35:13,0.001820629995360463,0.0030618228319163315,0.02236697314502857,0.0733106664884385,5.836386377250332,9.277931391427783e-05,7.341718848019497e-05
2016-10-08 00:36:14,0.0019503882088444428,0.003217173130706093,0.023368686022486054,0.07825628701634046,5.8421496527997165,0.00010322738545018531,8.195794613138205e-05
2016-10-08 00:37:16,0.002081429431360603,0.0033655951892929015,0.024345970807052565,0.08344324963875321,5.84795114109432,0.00011449665124246424,9.130613912490967e-05
2016-10-08 00:38:17,0.0022105815699033048,0.003488347765292152,0.025342618743557296,0.08877484634888894,5.853678645012881,0.0001263843628873667,0.00010131650419374793
2016-10-08 00:39:19,0.0023405345338851184,0.003618107621059001,0.02635145172046483,0.0943854725472768,5.859478725029009,0.00013922003366660212,0.0001122838119572439
2016-10-08 00:40:20,0.0024685035525897165,0.003763439474485047,0.027373588466214054,0.10019742268221873,5.8652550511174635,0.00015282632621484832,0.00012409013757787903
2016-10-08 00:41:23,0.0025956812499114707,0.003911635013709131,0.028402777211666747,0.10629300443424272,5.87108902502043,0.00016743133277921174,0.00013695108522053707
2016-10-08 00:42:25,0.002721111740867607,0.004073070936599855,0.02943377801836964,0.11267469729277005,5.876967126674308,0.00018305315466831865,0.00015090276605834332
2016-10-08 00:43:26,0.002839244355956802,0.004249070232152226,0.03041839626854842,0.11906928001594373,5.882647498357148,0.00019903700113270227,0.00016537303106910184
2016-10-08 00:44:27,0.0029548971722081385,0.004441466037535473,0.03139180978553468,0.12575660004792832,5.88837669220988,0.00021606878341488318,0.0001809888903396498
2016-10-08 00:45:29,0.0030694268363163956,0.004639794112959587,0.032392795104719575,0.13287481978106808,5.894252164998572,0.00023451568179208132,0.00019810641181980257
2016-10-08 00:46:30,0.0031766585362794815,0.0047522490095957114,0.033370904113695754,0.14007092686524775,5.8999785422353295,0.00025348044676299774,0.00021589990275362405
2016-10-08 00:47:31,0.003278372593385556,0.0048573025129117955,0.03434181674980938,0.14746278594939627,5.905659571134466,0.0002732707856070213,0.0002346678810683497
2016-10-08 00:48:33,0.003378017009276783,0.0050802675958967584,0.03534318309343478,0.15535342780605194,5.91151833168298,0.00029471021975239543,0.0002552180837618016
2016-10-08 00:49:36,0.0034850673748546114,0.005169132225938795,0.03635148766561169,0.1635947765938286,5.917421595543007,0.0003177755145360843,0.00027718719672919123
