,"('basin_C', 'depthN')","('basin_S', 'depthN')","('basin_N1', 'depthN')","('basin_N2', 'depthN')","('basin_N3', 'depthN')","('basin_N4', 'depthN')"
2016-04-22 00:00:00,3.3682626999760403,0.7382769151291584,5.298891557013042,4.538525554447625,5.42,6.348446161083668
2016-04-22 00:05:00,3.3604350143331034,0.795052678566811,5.298821184529614,4.538194407868277,5.42,6.338799172695777
2016-04-22 00:10:00,3.3605356772560104,0.795052678566811,5.2988366618974645,4.5381804854729335,5.42,6.279825677854622
2016-04-22 00:15:00,3.3558564517896037,0.83829825561356,5.29880912530642,4.538189189819649,5.42,6.357284689195723
2016-04-22 00:20:00,3.350317989834656,0.8920357122005251,5.298809517675829,4.538187163952722,5.42,6.295673529641961
2016-04-22 00:25:00,3.3504446016550524,0.8920357122005251,5.298814489466382,4.538205666594023,5.42,6.345164443937496
2016-04-22 00:30:00,3.350326588695914,0.8920357122005251,5.298815414257232,4.538201159605008,5.42,6.314303433008929
2016-04-22 00:35:00,3.350237214901515,0.8920357122005251,5.298807934359459,4.538211067153258,5.42,6.316846552501121
2016-04-22 00:40:00,3.3459972902222086,0.9333759858762702,5.298813091690929,4.538214321992347,5.42,6.332781554285795
2016-04-22 00:45:00,3.340400387599819,0.9873224141712289,5.298814341026729,4.538223109725907,5.42,6.297140564890576
2016-04-22 00:50:00,3.3404005663971645,0.9873224141712288,5.29881687525966,4.538220485855529,5.42,6.352491252541894
2016-04-22 00:55:00,3.3357548757517406,1.0308835786665422,5.298811970062255,4.538228920808976,5.42,6.2988392566270255
2016-04-22 01:00:00,3.330579612307,1.0810281631489123,5.298813669400096,4.538228301130073,5.42,6.341777246429889
2016-04-22 01:05:00,3.33050651303713,1.0810281631489123,5.298814389988576,4.5382328459906045,5.42,6.310303622824419
2016-04-22 01:10:00,3.330502744119907,1.0810281631489123,5.298813675789843,4.5382356437068285,5.42,6.31399557888425
2016-04-22 01:15:00,3.3304995291758663,1.0810281631489123,5.298810254081332,4.538244876660645,5.42,6.335702043375512
2016-04-22 01:20:00,3.3304911055252937,1.0810281631489123,5.298813853143479,4.538246342298482,5.42,6.3033204622794905
2016-04-22 01:25:00,3.3304932337964184,1.0810281631489123,5.298814206279524,4.53825507722094,5.42,6.337231827178755
2016-04-22 01:30:00,3.3304473257051974,1.0810281631489123,5.2988133330873595,4.538254285416796,5.42,6.299197010637581
2016-04-22 01:35:00,3.3304986841765825,1.0810281631489123,5.298812796323792,4.538260480422392,5.42,6.3294290624259855
2016-04-22 01:40:00,3.3259375574084755,1.1233700809477432,5.29881508172784,4.538261386436804,5.42,6.313121513125932
2016-04-22 01:45:00,3.3161895452770302,1.213563171012455,5.298813593281359,4.538268050451518,5.42,6.317516404636727
2016-04-22 01:50:00,3.3106273244568705,1.2651843207823303,5.298813133693921,4.538270408094169,5.42,6.330645673182484
2016-04-22 01:55:00,3.3057625268768644,1.3091878413722848,5.298812120881276,4.538278280974339,5.42,6.2995494595759265
2016-04-22 02:00:00,3.29603290812422,1.3967034617769831,5.298813928551793,4.538279780599943,5.42,6.333601761189305
2016-04-22 02:05:00,3.2907892566881074,1.4438857762288433,5.298813428341196,4.538286844906041,5.42,6.300618095231229
2016-04-22 02:10:00,3.2908196738083775,1.4438857762288433,5.298812988545775,4.538289852703775,5.42,6.329027016433634
2016-04-22 02:15:00,3.290821400101899,1.4438857762288433,5.298813262696795,4.538297076316242,5.42,6.317576999061563
2016-04-22 02:20:00,3.2908312656398406,1.4438857762288433,5.29881483524801,4.538298915064354,5.42,6.3131780932351775
2016-04-22 02:25:00,3.2908326571504616,1.4438857762288433,5.298813236908573,4.538305926485277,5.42,6.326506178031414
2016-04-22 02:30:00,3.285552059962889,1.4902881896383726,5.298813057726612,4.538308777830687,5.42,6.305783628467725
2016-04-22 02:35:00,3.2810293698966495,1.5309443563538137,5.298813422512224,4.538314126644512,5.42,6.334749523711695
2016-04-22 02:40:00,3.2810049113957547,1.5309443563538137,5.298813732937179,4.538314168010446,5.42,6.308148263386248
2016-04-22 02:45:00,3.276447110153846,1.5702351022184038,5.298812613653124,4.5383206627062975,5.42,6.327587126828365
2016-04-22 02:50:00,3.271199452944729,1.6167695991123197,5.298813317406742,4.538323204904243,5.42,6.3153345441567925
2016-04-22 02:55:00,3.2712028626000818,1.6168146953335973,5.298813555140333,4.538330125176858,5.42,6.312699171733298
2016-04-22 03:00:00,3.2712173639603677,1.6168146953335973,5.298814085457261,4.538331903623401,5.42,6.329791639581208
2016-04-22 03:05:00,3.271212733907484,1.6168146953335973,5.298813116226415,4.538334837857265,5.42,6.307790701489358
2016-04-22 03:10:00,3.2712270456494994,1.6168146953335973,5.298813546352552,4.538334490004514,5.42,6.332660691305984
2016-04-22 03:15:00,3.2712050258516157,1.6168146953335973,5.298813643942365,4.538340314078739,5.42,6.30841052277991
2016-04-22 03:20:00,3.2662744935389276,1.659063789382574,5.298813476076408,4.538343739486393,5.42,6.32222557763753
2016-04-22 03:25:00,3.261402678751179,1.7014268715350054,5.298812615581672,4.5383498694924915,5.42,6.317575206735443
2016-04-22 03:30:00,3.2614280794966257,1.7014268715350052,5.29881354263829,4.538352701498955,5.42,6.314843114948334
2016-04-22 03:35:00,3.256184253643832,1.7459267052395429,5.298813644346652,4.538357813015739,5.42,6.326695263619263
2016-04-22 03:40:00,3.251695598083308,1.7849191200505774,5.2988133457535405,4.538359354146215,5.42,6.3051251772101065
2016-04-22 03:45:00,3.2469332176177232,1.8246959881192595,5.298813234425927,4.538364823006878,5.42,6.327159354834336
2016-04-22 03:50:00,3.2373531704612306,1.9053017915762314,5.298813937292337,4.538367893645632,5.42,6.307768303462972
2016-04-22 03:55:00,3.2321185487321484,1.9493864556471263,5.298813464697812,4.538373984233333,5.42,6.323001217051358
2016-04-22 04:00:00,3.232118918084003,1.9494284978475371,5.298813316067813,4.538377884859902,5.42,6.319465474896427
2016-04-22 04:05:00,3.23211380186563,1.9494284978475371,5.298813060153256,4.538383252101905,5.42,6.311719047455845
2016-04-22 04:10:00,3.227558902504181,1.9868306245816831,5.29881358648108,4.538386626172211,5.42,6.324759108336478
2016-04-22 04:15:00,3.2224438672883355,2.029747025487316,5.298813362513171,4.538392462990453,5.42,6.30678035192893
2016-04-22 04:20:00,3.222426614568568,2.029747025487316,5.298813282898466,4.538395682871861,5.42,6.326278390421556
2016-04-22 04:25:00,3.222423633289626,2.029747025487316,5.298813385576382,4.538401833849053,5.42,6.312217569114539
2016-04-22 04:30:00,3.2224068034412388,2.029747025487316,5.298813901902141,4.5384056605867205,5.42,6.321765456166974
2016-04-22 04:35:00,3.2224196193138726,2.029747025487316,5.298813344441227,4.5384113348420705,5.42,6.317773246112921
2016-04-22 04:40:00,3.2172162458206897,2.072024681852441,5.298813287449697,4.538415795154796,5.42,6.312310392760591
2016-04-22 04:45:00,3.212757281223042,2.109077335371791,5.298813463784032,4.5384203154301765,5.42,6.327296669652718
2016-04-22 04:50:00,3.2127521693353613,2.109077335371791,5.29881355912927,4.538423315085727,5.42,6.310028868802186
2016-04-22 04:55:00,3.208287740470428,2.144920981006091,5.2988130653231895,4.538426310641282,5.42,6.327574223339649
2016-04-22 05:00:00,3.198781336910347,2.2215945729875526,5.298813409209933,4.538429492732613,5.42,6.3117676037237285
2016-04-22 05:05:00,3.193355042293282,2.265573942252092,5.298813493991275,4.5384351208539915,5.42,6.318849106190733
2016-04-22 05:10:00,3.193356292504716,2.265573942252092,5.298813610485902,4.53843957836107,5.42,6.319827005086562
2016-04-22 05:15:00,3.1933657547366043,2.265573942252092,5.298813312128816,4.538444665437124,5.42,6.31370376311679
2016-04-22 05:20:00,3.19337690345711,2.265573942252092,5.298813498309812,4.538448492079743,5.42,6.325516249951768
2016-04-22 05:25:00,3.1933602113628203,2.265573942252092,5.298813500703969,4.538454035462947,5.42,6.310828794409512
2016-04-22 05:30:00,3.1885085746311015,2.3037611274228205,5.298813427042487,4.538458502909338,5.42,6.323730547725691
2016-04-22 05:35:00,3.1790373371222196,2.378631262121395,5.2988131223668224,4.53846320715836,5.42,6.31173631430868
2016-04-22 05:40:00,3.169620213154634,2.4526292076227425,5.2988134838676135,4.538467284981253,5.42,6.319809497995213
2016-04-22 05:45:00,3.1591629700819537,2.533904986218971,5.298813506172201,4.538472422224524,5.42,6.320420979061678
2016-04-22 05:50:00,3.1547628180218057,2.5684455635300623,5.2988132966926225,4.538476307395106,5.42,6.311200619525761
2016-04-22 05:55:00,3.1547426398379246,2.5684455635300623,5.2988133690981245,4.538478568167797,5.42,6.323627744840341
2016-04-22 06:00:00,3.150316201569659,2.601846005956734,5.298813678377109,4.538482511255579,5.42,6.308893142755202
2016-04-22 06:05:00,3.1452043559828082,2.641483214036841,5.298813405576343,4.538487559334818,5.42,6.323624654620792
2016-04-22 06:10:00,3.1452110272645273,2.6415259249693532,5.298813359123197,4.538492493113727,5.42,6.314674627448457
2016-04-22 06:15:00,3.145231814466198,2.6415259249693532,5.298813358859158,4.53849678073998,5.42,6.318457484473653
2016-04-22 06:20:00,3.14521284561771,2.6415259249693532,5.298813489777281,4.538500277698192,5.42,6.31915004015259
2016-04-22 06:25:00,3.145193095673169,2.6415259249693532,5.29881329557418,4.538502808247449,5.42,6.312702692797281
2016-04-22 06:30:00,3.1452036522791653,2.6415259249693532,5.298813385586001,4.538506527017576,5.42,6.322625130846331
2016-04-22 06:35:00,3.140411711011459,2.6776022309931755,5.298813440052065,4.538511734737303,5.42,6.311664229774354
2016-04-22 06:40:00,3.1357151192312225,2.713826522339474,5.298813578705744,4.538516447971185,5.42,6.324287431562711
