,ISD001,ISD002,ISD003,ISD004,ISD005,ISD006,ISD007,ISD008,ISD009,ISD010,ISD011
2017-01-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:05:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:25:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:30:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:35:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:40:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:45:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:50:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 00:55:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:05:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:10:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:15:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:20:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:25:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:30:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:35:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:40:00,1.0,1.0,1.0,1.0,1.0,1.0,0.9997140554995402,1.0,1.0,1.0,1.0
2017-01-01 01:45:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:50:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-01 01:55:00,1.0,1.0,1.0,1.0,1.0,1.0,0.9927222291265301,1.0,1.0,1.0,1.0
2017-01-01 02:00:00,1.0,1.0,1.0,1.0,1.0,0.9952059389257926,0.990175526587423,1.0,1.0,1.0,1.0
2017-01-01 02:05:00,1.0,1.0,1.0,1.0,1.0,0.9842405860113576,0.9933646298289484,1.0,1.0,1.0,1.0
2017-01-01 02:10:00,1.0,1.0,1.0,1.0,1.0,0.9809784361533694,0.9834114290619224,1.0,1.0,1.0,1.0
2017-01-01 02:15:00,1.0,1.0,1.0,1.0,1.0,0.9831577062815893,0.984881787745351,1.0,1.0,1.0,1.0
2017-01-01 02:20:00,1.0,1.0,1.0,1.0,1.0,0.9701730043437942,0.9836138349782572,1.0,1.0,1.0,1.0
2017-01-01 02:25:00,1.0,1.0,1.0,1.0,1.0,0.9635584107757836,0.9841236111017112,1.0,1.0,1.0,1.0
2017-01-01 02:30:00,1.0,1.0,1.0,1.0,1.0,0.9587539917130785,0.9814516500105895,1.0,1.0,1.0,1.0
2017-01-01 02:35:00,1.0,1.0,1.0,1.0,1.0,0.9640037480433719,0.9854624890589718,1.0,1.0,1.0,1.0
2017-01-01 02:40:00,1.0,1.0,1.0,1.0,1.0,0.9592925808409194,0.9738024939476041,1.0,1.0,1.0,1.0
2017-01-01 02:45:00,1.0,1.0,1.0,1.0,0.9871412981370898,0.9585394229908181,0.9776521231188458,1.0,1.0,0.9980178781286507,1.0
2017-01-01 02:50:00,1.0,1.0,1.0,1.0,1.0,0.9634677713645263,0.9736844018382427,1.0,1.0,1.0,1.0
2017-01-01 02:55:00,1.0,0.9823268406165242,1.0,1.0,0.9809025069873554,0.9530005545392038,0.9693528400592669,1.0,1.0,1.0,1.0
2017-01-01 03:00:00,1.0,1.0,1.0,1.0,0.9807068773622132,0.9420091948615466,0.9712941381001878,1.0,1.0,1.0,1.0
2017-01-01 03:05:00,1.0,1.0,1.0,1.0,0.9752098575383419,0.9460890537181679,0.968803580390761,1.0,1.0,1.0,1.0
2017-01-01 03:10:00,1.0,0.993274637687103,1.0,1.0,0.964304062861139,0.9390864520016325,0.9603995298257566,1.0,1.0,1.0,1.0
2017-01-01 03:15:00,1.0,0.985540835349612,1.0,1.0,0.972686699913728,0.9391338460486083,0.9689483020840907,1.0,1.0,1.0,1.0
2017-01-01 03:20:00,1.0,1.0,1.0,1.0,0.9736044300522043,0.9322820747372285,0.9630426866873578,1.0,1.0,1.0,1.0
2017-01-01 03:25:00,1.0,0.9929284462583988,1.0,1.0,0.9750891517376622,0.934849133185334,0.9694184107109816,1.0,1.0,1.0,1.0
2017-01-01 03:30:00,1.0,0.998845309644788,1.0,1.0,0.9666662929177059,0.933461553006739,0.975370749889686,1.0,1.0,1.0,1.0
2017-01-01 03:35:00,1.0,0.9866750534343531,1.0,1.0,0.9527350893376132,0.9266849449155743,0.9711029100865838,1.0,1.0,1.0,1.0
2017-01-01 03:40:00,1.0,0.9777547020351119,1.0,1.0,0.9528441715186813,0.933960895575703,0.960114769185072,1.0,1.0,1.0,1.0
2017-01-01 03:45:00,1.0,0.9738154974205987,1.0,1.0,0.9468811342949629,0.9267018520228941,0.9636533998188551,1.0,1.0,1.0,1.0
