,"('P1', 'depthN')","('P2', 'depthN')"
2018-02-25 00:00:00,0.0,0.0
2018-02-25 00:05:00,0.0,0.0
2018-02-25 00:10:00,0.0,0.0
2018-02-25 00:15:00,0.0,0.0
2018-02-25 00:20:00,0.0,0.0
2018-02-25 00:25:00,0.0,0.0
2018-02-25 00:30:00,0.0,0.0
2018-02-25 00:35:00,0.0,0.0
2018-02-25 00:40:00,0.0,0.0
2018-02-25 00:45:00,0.0,0.0
2018-02-25 00:50:00,0.0,0.0
2018-02-25 00:55:00,0.0,0.0
2018-02-25 01:00:00,1.229228902261534e-05,1.229228902261534e-05
2018-02-25 01:05:00,0.00011973764575352479,0.000120313299187189
2018-02-25 01:10:00,0.000612092780699727,0.0006216917711501086
2018-02-25 01:15:00,0.0016598061253291893,0.001717269304450178
2018-02-25 01:20:00,0.003075342161645364,0.0033019418289012767
2018-02-25 01:25:00,0.005244613574238757,0.006019807280171929
2018-02-25 01:30:00,0.008008499675529199,0.009688350269862086
2018-02-25 01:35:00,0.01107987741641608,0.01436141250702833
2018-02-25 01:40:00,0.014060548160247608,0.020262792947668425
2018-02-25 01:45:00,0.01667692313976776,0.026472016424111948
2018-02-25 01:50:00,0.019841330661815884,0.03309885391410144
2018-02-25 01:55:00,0.02461147072978028,0.04134588621012998
2018-02-25 02:00:00,0.02904685351612648,0.050350848522556065
2018-02-25 02:05:00,0.03390436512638428,0.06130042749762393
2018-02-25 02:10:00,0.03986529294497079,0.07371513129150717
2018-02-25 02:15:00,0.04643492178348807,0.08870083357611531
2018-02-25 02:20:00,0.052319511767098106,0.10465899912800708
2018-02-25 02:25:00,0.058601159680711785,0.12080472730666257
2018-02-25 02:30:00,0.06599383176443285,0.14002678252869147
2018-02-25 02:35:00,0.07145491619333923,0.15853019540832053
2018-02-25 02:40:00,0.0760557966544677,0.17611666400737175
2018-02-25 02:45:00,0.08113478565274751,0.19464957277380868
2018-02-25 02:50:00,0.082680189123327,0.21133931360407024
2018-02-25 02:55:00,0.08457138315787104,0.2266695790338195
2018-02-25 03:00:00,0.09147390893243504,0.24360850603001402
